 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
  161036    138334(137342/992)          2078(0/2078)      333(106/0/132/0/95)       0     20291(18668/1623)   86.73%  /  (top_module)
      18                9(9/0)                1(0/1)             0(0/0/0/0/0)       0                8(8/0)   50.00%     /core_clock_gate_i  (cluster_clock_gating_32)
       6                2(2/0)                1(0/1)             0(0/0/0/0/0)       0                3(3/0)   33.33%        /core_clock_gate_i/clk_en_reg  (DLL_X1)
       6                5(5/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   83.33%        /core_clock_gate_i/U2  (AND2_X1)
       6                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                4(4/0)   33.33%        /core_clock_gate_i/U3  (OR2_X1)
   11748          8457(8457/0)              58(0/58)             1(0/0/0/0/1)       0          3232(3232/0)   72.24%     /if_stage_i_prefetch_32_prefetch_buffer_i  (riscv_prefetch_buffer)
    9296          6987(6987/0)              26(0/26)             1(0/0/0/0/1)       0          2282(2282/0)   75.31%        /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i  (riscv_fetch_fifo)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/valid_Q_reg_3_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/valid_Q_reg_2_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/valid_Q_reg_1_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/valid_Q_reg_0_  (DFFR_X1)
      10                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                2(2/0)   80.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/is_hwlp_Q_reg_1_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/is_hwlp_Q_reg_0_  (DFFR_X1)
      10                0(0/0)                0(0/0)             0(0/0/0/0/0)       0              10(10/0)    0.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__0_  (DFFR_X1)
      10                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                8(8/0)   20.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__1_  (DFFR_X1)
      10                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                3(3/0)   70.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__2_  (DFFR_X1)
      10                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                3(3/0)   70.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__3_  (DFFR_X1)
      10                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                3(3/0)   70.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/addr_Q_reg_1__4_  (DFFR_X1)
