 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
  162146    144474(143482/992)          1257(0/1257)      344(86/0/140/5/113)       0     16071(4406/11665)   89.68%  /  (top_module)
       8                4(4/0)                1(0/1)             0(0/0/0/0/0)       0                3(3/0)   50.00%     /core_clock_gate_i  (cluster_clock_gating_32)
       8                4(4/0)                1(0/1)             0(0/0/0/0/0)       0                3(3/0)   50.00%        /core_clock_gate_i/cgc  (CLKGATETST_X1)
   17028        11361(11361/0)            394(0/394)             4(0/0/0/0/4)       0       5269(2019/3250)   67.89%     /if_stage_i  (riscv_if_stage_2_128_0_1a110800)
   10588          7793(7793/0)            263(0/263)             1(0/0/0/0/1)       0        2531(819/1712)   74.85%        /if_stage_i/prefetch_128_prefetch_buffer_i  (riscv_prefetch_L0_buffer)
    3780          2564(2564/0)            101(0/101)             0(0/0/0/0/0)       0         1115(360/755)   69.15%           /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i  (riscv_L0_buffer_RDATA_IN_WIDTH128)
       6                0(0/0)                0(0/0)             0(0/0/0/0/0)       0                6(0/6)    0.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/clk_gate_addr_q_reg  (SNPS_CLOCK_GATE_HIGH_riscv_L0_buffer_RDATA_IN_WIDTH128_0)
       6                0(0/0)                0(0/0)             0(0/0/0/0/0)       0                6(0/6)    0.00%                 /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/clk_gate_addr_q_reg/latch  (CLKGATETST_X1)
       6                0(0/0)                0(0/0)             0(0/0/0/0/0)       0                6(0/6)    0.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/clk_gate_addr_q_reg_0  (SNPS_CLOCK_GATE_HIGH_riscv_L0_buffer_RDATA_IN_WIDTH128_3)
       6                0(0/0)                0(0/0)             0(0/0/0/0/0)       0                6(0/6)    0.00%                 /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/clk_gate_addr_q_reg_0/latch  (CLKGATETST_X1)
       6                5(5/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   83.33%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/clk_gate_CS_reg  (SNPS_CLOCK_GATE_HIGH_riscv_L0_buffer_RDATA_IN_WIDTH128_2)
       6                5(5/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   83.33%                 /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/clk_gate_CS_reg/latch  (CLKGATETST_X1)
       6                5(5/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   83.33%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/clk_gate_L0_buffer_reg_3_  (SNPS_CLOCK_GATE_HIGH_riscv_L0_buffer_RDATA_IN_WIDTH128_1)
       6                5(5/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   83.33%                 /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/clk_gate_L0_buffer_reg_3_/latch  (CLKGATETST_X1)
       8                0(0/0)                0(0/0)             0(0/0/0/0/0)       0                8(0/8)    0.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/addr_q_reg_3_  (DFFR_X1)
       8                0(0/0)                0(0/0)             0(0/0/0/0/0)       0                8(0/8)    0.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/addr_q_reg_2_  (DFFR_X1)
       8                0(0/0)                0(0/0)             0(0/0/0/0/0)       0                8(0/8)    0.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/addr_q_reg_1_  (DFFR_X1)
       8                0(0/0)                0(0/0)             0(0/0/0/0/0)       0                8(2/6)    0.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/addr_q_reg_27_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__31_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__30_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__29_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__28_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__27_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__26_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__25_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__24_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__23_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__22_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__21_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__20_  (DFFR_X1)
       8                2(2/0)                5(0/5)             0(0/0/0/0/0)       0                1(0/1)   50.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__19_  (DFFR_X1)
       8                2(2/0)                5(0/5)             0(0/0/0/0/0)       0                1(0/1)   50.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__18_  (DFFR_X1)
       8                2(2/0)                5(0/5)             0(0/0/0/0/0)       0                1(0/1)   50.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__17_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__16_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__15_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__14_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__13_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__12_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_3__11_  (DFFR_X1)
